# lag   C(lag)   C_norm(lag)
     359  -5.785955603240E-04  -4.541488181766E-02
     360  -5.305028898071E-04  -4.164001194725E-02
     361  -4.923775041184E-04  -3.864749004761E-02
     362  -4.600040103057E-04  -3.610644325025E-02
     363  -4.298310193149E-04  -3.373811740419E-02
     364  -4.003364198942E-04  -3.142303958679E-02
     365  -3.754111808110E-04  -2.946661809851E-02
     366  -3.649283774180E-04  -2.864380625920E-02
     367  -3.771971597033E-04  -2.960680241012E-02
     368  -4.099126896436E-04  -3.217469616479E-02
     369  -4.508567874529E-04  -3.538846324262E-02
     370  -4.887006108658E-04  -3.835888487334E-02
     371  -5.244321112848E-04  -4.116350692711E-02
     372  -5.734179171038E-04  -4.500848040179E-02
     373  -6.538183940755E-04  -5.131924116481E-02
     374  -7.680137051070E-04  -6.028261197209E-02
     375  -8.945659761282E-04  -7.021590013794E-02
     376  -9.979671630725E-04  -7.833202305159E-02
     377  -1.047623658790E-03  -8.222964003852E-02
     378  -1.032917935894E-03  -8.107536455984E-02
     379  -9.643010705031E-04  -7.568951813080E-02
     380  -8.627156220313E-04  -6.771591540534E-02
     381  -7.508716810673E-04  -5.893710735839E-02
     382  -6.471154081932E-04  -5.079311318778E-02
     383  -5.600689592606E-04  -4.396069956071E-02
     384  -4.868784531826E-04  -3.821586083114E-02
     385  -4.179118297504E-04  -3.280256133955E-02
     386  -3.440065517103E-04  -2.700161902673E-02
     387  -2.614501334056E-04  -2.052163501424E-02
     388  -1.754700683109E-04  -1.377292354337E-02
     389  -1.013843841664E-04  -7.957820869718E-03
     390  -5.735816727589E-05  -4.502133384248E-03
     391  -5.040202695434E-05  -3.956134914379E-03
     392  -6.952843350749E-05  -5.457396854103E-03
     393  -9.284491783526E-05  -7.287544633937E-03
     394  -1.009792984204E-04  -7.926025048003E-03
     395  -8.570467309219E-05  -6.727095516467E-03
     396  -5.123904831146E-05  -4.021834046240E-03
     397  -1.290730278159E-05  -1.013114635865E-03
     398   7.291881719426E-06   5.723513438829E-04
     399  -8.174916627342E-06  -6.416621522158E-04
     400  -6.068120952829E-05  -4.762964233146E-03
     401  -1.348704820335E-04  -1.058619772128E-02
     402  -2.076162429109E-04  -1.629612769573E-02
     403  -2.564796881919E-04  -2.013149689801E-02
     404  -2.653930382261E-04  -2.083111985775E-02
     405  -2.300942916902E-04  -1.806046534159E-02
     406  -1.621625856748E-04  -1.272839815698E-02
     407  -8.458060153995E-05  -6.638865360206E-03
     408  -1.827949469951E-05  -1.434786487128E-03
     409   2.956229049726E-05   2.320390997195E-03
     410   6.737111426474E-05   5.288065450319E-03
     411   1.131348909040E-04   8.880136752141E-03
     412   1.860934069030E-04   1.460676621303E-02
     413   2.996489513854E-04   2.351992073070E-02
     414   4.543413710646E-04   3.566197372863E-02
     415   6.330436249123E-04   4.968859663341E-02
     416   8.033631260023E-04   6.305724399896E-02
     417   9.282022433418E-04   7.285606401932E-02
     418   9.813032736145E-04   7.702404797841E-02
     419   9.586297072949E-04   7.524436385119E-02
     420   8.783009617539E-04   6.893923340176E-02
     421   7.702772443527E-04   6.046028075211E-02
     422   6.640542500999E-04   5.212266971409E-02
     423   5.811710847193E-04   4.561703880616E-02
     424   5.354543532606E-04   4.202866015506E-02
     425   5.360554879589E-04   4.207584416952E-02
     426   5.857245677861E-04   4.597444890316E-02
     427   6.762761472567E-04   5.308198577702E-02
     428   7.865995113211E-04   6.174144133508E-02
     429   8.902935455149E-04   6.988055029311E-02
     430   9.688742759090E-04   7.604847626543E-02
     431   1.017939651838E-03   7.989969532409E-02
     432   1.040186919423E-03   8.164591858846E-02
     433   1.034368307196E-03   8.118920650019E-02
     434   9.921073134265E-04   7.787207417298E-02
     435   9.031616804578E-04   7.089059058329E-02
     436   7.645523086489E-04   6.001092148248E-02
     437   5.861299163184E-04   4.600626535138E-02
     438   3.880040893200E-04   3.045505543003E-02
     439   1.955338935517E-04   1.534776496042E-02
     440   3.796551767858E-05   2.979973606354E-03
     441  -5.572209746892E-05  -4.373715674151E-03
     442  -6.952255019554E-05  -5.456935063631E-03
     443  -1.101370601411E-05  -8.644832268074E-04
     444   9.196569685398E-05   7.218533186746E-03
     445   2.047942267927E-04   1.607462318156E-02
     446   2.988906082686E-04   2.346039717852E-02
     447   3.588668583171E-04   2.816802802570E-02
     448   3.846612385645E-04   3.019266978036E-02
     449   3.880169532201E-04   3.045606513793E-02
     450   3.829206028099E-04   3.005604452343E-02
     451   3.762507717297E-04   2.953251891933E-02
     452   3.653079531903E-04   2.867359976267E-02
     453   3.407653171816E-04   2.674720939562E-02
     454   2.919490158912E-04   2.291554059983E-02
     455   2.136017134717E-04   1.676593675889E-02
     456   1.123385669427E-04   8.817632023329E-03
     457   8.280980144642E-06   6.499872456553E-04
     458  -7.283785701973E-05  -5.717158746518E-03
     459  -1.137864735775E-04  -8.931280508055E-03
     460  -1.136552987362E-04  -8.920984387035E-03
     461  -8.336638785223E-05  -6.543559804978E-03
     462  -3.487319008866E-05  -2.737251916684E-03
     463   2.366513929619E-05   1.857514260450E-03
     464   8.473164631296E-05   6.650721103640E-03
     465   1.400367772072E-04   1.099170841102E-02
     466   1.857011480253E-04   1.457597719251E-02
     467   2.267914938447E-04   1.780122350825E-02
     468   2.737523178986E-04   2.148725295734E-02
     469   3.341846971259E-04   2.623068610611E-02
     470   4.088480107565E-04   3.209112783288E-02
     471   4.926876712658E-04   3.867183555821E-02
     472   5.768239080949E-04   4.527582202854E-02
     473   6.527187436707E-04   5.123292786308E-02
     474   7.159349312167E-04   5.619486653533E-02
     475   7.635545148125E-04   5.993260306411E-02
     476   7.887096908801E-04   6.190707267043E-02
     477   7.802964875664E-04   6.124670701884E-02
     478   7.293872719868E-04   5.725076206607E-02
     479   6.370426880949E-04   5.000248943569E-02
     480   5.175661925506E-04   4.062459009250E-02
     481   3.930969739156E-04   3.085480400724E-02
     482   2.824769198125E-04   2.217206077821E-02
     483   1.959202299433E-04   1.537808911562E-02
     484   1.379271806551E-04   1.082612283680E-02
     485   1.092393596856E-04   8.574370337687E-03
     486   1.034792248311E-04   8.122248230967E-03
     487   1.051509492131E-04   8.253464525126E-03
     488   9.464647957605E-05   7.428952067999E-03
     489   5.740694317280E-05   4.505961881640E-03
     490  -8.982936708783E-06  -7.050849280221E-04
     491  -9.355003440782E-05  -7.342890350369E-03
     492  -1.769386575300E-04  -1.388819543690E-02
     493  -2.387440360293E-04  -1.873939747286E-02
     494  -2.608940575707E-04  -2.047798774134E-02
     495  -2.266991806484E-04  -1.779397769928E-02
     496  -1.202966827950E-04  -9.442277139379E-03
     497   6.664588506570E-05   5.231141061984E-03
     498   3.208050743042E-04   2.518049832230E-02
     499   6.008587957913E-04   4.716235842647E-02
     500   8.500040257780E-04   6.671816208481E-02
     501   1.017973912464E-03   7.990238449485E-02
     502   1.078726090835E-03   8.467091918481E-02
     503   1.038135464181E-03   8.148489661780E-02
     504   9.296327811655E-04   7.296834919856E-02
     505   7.995936200585E-04   6.276136950788E-02
     506   6.907409359347E-04   5.421734994740E-02
     507   6.290291267813E-04   4.937349231758E-02
     508   6.180401435345E-04   4.851094961993E-02
     509   6.434814610921E-04   5.050787892494E-02
     510   6.816927870440E-04   5.350714641194E-02
     511   7.059239714232E-04   5.540909044737E-02
     512   6.935085007780E-04   5.443458049478E-02
     513   6.349733363056E-04   4.984006273663E-02
     514   5.377604697484E-04   4.220967089025E-02
     515   4.198646914035E-04   3.295584454333E-02
     516   2.978813228053E-04   2.338117676416E-02
     517   1.801003203807E-04   1.413635936099E-02
     518   6.923472346419E-05   5.434343087673E-03
     519  -3.099714431269E-05  -2.433014945461E-03
     520  -1.140645893855E-04  -8.953110258265E-03
     521  -1.758244033406E-04  -1.380073586100E-02
     522  -2.207820451858E-04  -1.732953236620E-02
     523  -2.605473490580E-04  -2.045077404111E-02
     524  -3.035210519999E-04  -2.382384803995E-02
     525  -3.458810822298E-04  -2.714875389579E-02
     526  -3.733725702279E-04  -2.930660432541E-02
     527  -3.711436587567E-04  -2.913165353424E-02
     528  -3.322915498016E-04  -2.608208997456E-02
     529  -2.583057995516E-04  -2.027483127054E-02
     530  -1.551184730987E-04  -1.217549460554E-02
     531  -3.276692291142E-05  -2.571927670370E-03
     532   9.173950751656E-05   7.200779227449E-03
     533   1.963370515787E-04   1.541080610588E-02
     534   2.619580032557E-04   2.056149852306E-02
     535   2.786292541770E-04   2.187005140915E-02
     536   2.464906125315E-04   1.934743853031E-02
     537   1.753881726401E-04   1.376649542248E-02
     538   8.567482990600E-05   6.724753077522E-03
     539   5.793119562269E-06   4.547111286660E-04
     540  -3.823071290920E-05  -3.000789199980E-03
     541  -3.565072966631E-05  -2.798282229477E-03
     542   4.423134802617E-06   3.471788553164E-04
     543   5.927116161990E-05   4.652287339807E-03
     544   1.051855291388E-04   8.256178758257E-03
     545   1.303998204848E-04   1.023528841639E-02
     546   1.387712372867E-04   1.089237417850E-02
     547   1.437403924159E-04   1.128241103395E-02
     548   1.620378970370E-04   1.271861114834E-02
     549   2.094679130711E-04   1.644146821899E-02
     550   2.940670529145E-04   2.308178868000E-02
     551   4.091570757985E-04   3.211538683747E-02
     552   5.336732463586E-04   4.188885825369E-02
     553   6.401161346919E-04   5.024372912633E-02
     554   7.048719367383E-04   5.532651457891E-02
     555   7.157401369633E-04   5.617957682590E-02
     556   6.753314162186E-04   5.300783234173E-02
     557   5.998138320641E-04   4.708033756868E-02
     558   5.109930419818E-04   4.010865309485E-02
     559   4.244013852933E-04   3.331193683124E-02
     560   3.432202733710E-04   2.693990279469E-02
     561   2.624394156093E-04   2.059928534108E-02
     562   1.769522235488E-04   1.388926025520E-02
     563   8.945366443460E-05   7.021359783990E-03
     564   1.300966227855E-05   1.021148994882E-03
     565  -3.614018495766E-05  -2.836700350416E-03
     566  -4.983691297372E-05  -3.911778223102E-03
     567  -3.151506616515E-05  -2.473667451863E-03
     568   9.731501849138E-06   7.638409913472E-04
     569   6.751127680637E-05   5.299067030179E-03
     570   1.410004313210E-04   1.106734714849E-02
     571   2.295440059115E-04   1.801727253937E-02
     572   3.254064542494E-04   2.554166792114E-02
     573   4.123975278895E-04   3.236973505381E-02
     574   4.707597433285E-04   3.695067776844E-02
     575   4.838602951530E-04   3.797896082771E-02
     576   4.445837325039E-04   3.489608122540E-02
     577   3.598686075613E-04   2.824665691028E-02
     578   2.486330787623E-04   1.951560409767E-02
     579   1.346013733280E-04   1.056507495281E-02
     580   3.964221758800E-05   3.111580437536E-03
