# lag   C(lag)   C_norm(lag)
     354   4.499341942046E+00   1.173611634649E-02
     355   6.024873222287E+00   1.571532326736E-02
     356   7.727115684849E+00   2.015546492538E-02
     357   9.723231212005E+00   2.536214722904E-02
     358   1.170516061556E+01   3.053182634441E-02
     359   1.325524697021E+01   3.457508290050E-02
     360   1.421555816800E+01   3.707996563475E-02
     361   1.475273276169E+01   3.848113576387E-02
     362   1.516138270904E+01   3.954706126785E-02
     363   1.571164093782E+01   4.098235884620E-02
     364   1.655278292607E+01   4.317639974487E-02
     365   1.750972874541E+01   4.567250420143E-02
     366   1.805361164665E+01   4.709117232889E-02
     367   1.771405191519E+01   4.620546224810E-02
     368   1.660085127983E+01   4.330178158950E-02
     369   1.542387636199E+01   4.023175162721E-02
     370   1.487413728181E+01   3.879780819985E-02
     371   1.487967926072E+01   3.881226393807E-02
     372   1.442979090310E+01   3.763877186391E-02
     373   1.226559569027E+01   3.199366928192E-02
     374   7.962726407866E+00   2.077003365420E-02
     375   2.471275281185E+00   6.446092472586E-03
     376  -2.360356774102E+00  -6.156771829506E-03
     377  -4.905479803776E+00  -1.279548930800E-02
     378  -4.642288178689E+00  -1.210897835302E-02
     379  -2.173952155121E+00  -5.670552661444E-03
     380   1.361510803946E+00   3.551374713888E-03
     381   4.803985457831E+00   1.253075071559E-02
     382   7.244143660030E+00   1.889567717233E-02
     383   8.298061382820E+00   2.164472384930E-02
     384   8.237602757110E+00   2.148702312892E-02
     385   7.698517716959E+00   2.008086977730E-02
     386   7.291008728893E+00   1.901792035986E-02
     387   7.410020262073E+00   1.932835091125E-02
     388   7.990364652077E+00   2.084212545203E-02
     389   8.274622775066E+00   2.158358641383E-02
     390   7.186185047864E+00   1.874449750552E-02
     391   4.233221765879E+00   1.104196653751E-02
     392   7.301412013497E-03   1.904505636332E-05
     393  -4.201831855756E+00  -1.096008886694E-02
     394  -7.216223455208E+00  -1.882284990638E-02
     395  -8.485459240990E+00  -2.213353378970E-02
     396  -8.140377056705E+00  -2.123341890267E-02
     397  -6.931025531060E+00  -1.807893756038E-02
     398  -6.063134483388E+00  -1.581512421995E-02
     399  -6.625516033587E+00  -1.728204435833E-02
     400  -8.881772313177E+00  -2.316727969849E-02
     401  -1.215019428126E+01  -3.169265540475E-02
     402  -1.532425843704E+01  -3.997190750502E-02
     403  -1.739165502340E+01  -4.536451984353E-02
     404  -1.765566916699E+01  -4.605317626178E-02
     405  -1.597083990733E+01  -4.165845532922E-02
     406  -1.300621319062E+01  -3.392550137300E-02
     407  -1.005423714933E+01  -2.622554553081E-02
     408  -8.271556045891E+00  -2.157558713508E-02
     409  -8.000248051601E+00  -2.086790538345E-02
     410  -8.714019427339E+00  -2.272971184723E-02
     411  -9.404850879339E+00  -2.453168164658E-02
     412  -9.008263912071E+00  -2.349722130786E-02
